"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"1" 1085.72601661525 940.950607017653 1073.05502548012 1039.65833272134 1256.95978418122 1069.79609154049 1300.78795495064 1360.06115659492 1213.91324564664 1239.50192648736 935.242866504309 1300.68263570002 910.454560469723 1181.24581518738 1074.31609111814 1060.17101658569 1187.77743691945 912.538547287405 1256.6937361928 903.310536409169 1109.14336853753 1217.65012028719 1318.5840200286 1090.64140994905 951.864461226864 1065.23167817788 1097.2815578483 984.142087718047 894.913801286629 1008.38840513378 1285.03019857258 974.239311386141 1356.97690172352 908.914156233237 1093.93503357967 1150.45482624565 1184.38276782977 1280.68218769584 1296.12988810588 974.666266229292 1288.63981686391 1275.85484519163 1245.28956180446 1154.82918949243 1192.40475706531 757.95629532366 920.147915102389 995.484875291586 1121.55081923019 911.138299335926
"2" 1534.49948275593 984.903386563759 1356.60274981626 1147.87949094494 1195.48856627911 563.519506162539 1297.54325585525 1113.33559459709 1085.27753380776 1272.8078693165 978.676135510374 930.479930827466 1388.34798211347 1024.31156790283 1156.39702721551 1183.46308087425 1112.90881463206 973.613907560925 1120.08851572215 1065.97608205952 1301.14639421087 1219.82909089166 957.630456300009 928.105191495771 1236.33745694853 1121.76246247691 684.837357761219 1033.67399013425 1204.35261874565 779.895342652512 1038.71341265537 1056.21066053541 1038.51874250092 1231.25307255621 1090.0874632805 1163.52323484287 1214.45935072792 1127.50632440165 1170.05348432539 1263.17215310897 896.702633409689 1047.48106982995 1112.90784736819 1186.89748614998 1263.49655398229 1139.97907328041 1063.01835915587 1248.51653614209 1138.28463129077 1258.36278257913
"3" 1261.35354204079 1145.57195329258 1127.33245570475 1262.85376604229 1058.4831172545 1279.12597953606 1155.64198364959 1318.10758905057 1138.78051146086 1336.33369245574 992.445649019622 1278.17830386275 1117.27398433777 1220.4856730154 1014.02953408098 1200.10939904434 1109.08457343467 1151.22131966605 1126.36167275304 1008.45223530969 1036.14329568945 1257.1606152154 1033.01180228302 1228.33748083151 1177.22576677136 883.877590432302 1028.44557054008 946.302289113227 1072.88672500946 1001.503487053 1178.33486034677 1142.64332791375 1174.32176803706 1159.00980828054 1183.15979599417 943.959647528179 1135.86138457194 997.372936330303 912.999815010093 1223.54284268063 1135.21347072266 1040.69660061612 1237.39650584746 914.225295571317 970.933803762286 1020.80682526407 887.51463013094 1119.7498084777 1148.06901883938 1192.86961303051
"4" 1173.52341027308 1002.75063636931 1161.23499342584 1209.07038658189 1078.92412622858 1060.6257787414 1100.04143362065 1082.14982063868 1160.93307885808 884.729001432018 1014.19037587146 1127.49617283727 1169.12797746566 1194.92416748977 1063.15859913173 1155.07955233245 1197.75180423928 1194.435653764 1327.63645215225 1309.0154343268 1135.28283895679 1293.30128609129 1193.0145699733 1165.67283437239 915.636546316966 1290.85193613158 951.674881866233 946.204394649379 1189.56414694478 954.956700088289 1237.57660964824 966.336494516056 1298.33308842678 1198.31766098828 1088.85170493358 1111.09506026962 986.076393010815 1001.18085270077 1181.80010274099 1199.73512260719 952.898177895146 1029.91461361078 1126.89454895298 1177.84829223141 1053.2094563954 1187.02215905573 1116.23207186882 976.439709496663 1054.49820229941 914.618439843805
"5" 993.454252818474 1248.90434042585 1072.57571031774 1023.51582491337 1082.91910253855 1182.65810649416 1446.94815077228 1099.7907088135 1193.83495166288 1081.17817402047 994.041305919681 906.999336076683 1182.45664015936 995.504188790604 1086.83209747038 1192.11986673845 1072.06708630693 923.911247611871 997.748315519497 935.018052927577 1166.08962367498 968.274556438213 1073.91239127955 1294.37108598013 1100.57907025459 1146.49228585187 1119.34559591417 1177.28453180555 1217.34886220888 1158.01765768757 1381.66503266321 948.419312094949 1265.80717684368 1267.04329429361 1131.8207310104 1073.956379384 1159.55008470911 1200.9775742944 1397.47216948169 1032.32270586249 972.139003355304 932.73372412218 1185.69943257342 1164.03013069902 974.195470724065 1210.51288658775 1145.00864878786 951.331850092983 882.734525740348 1076.57685218517
"6" 1206.32337232557 1123.40775669536 1241.76977600009 1534.15012321272 1001.03827468919 1024.43251442626 1123.97084875574 937.149892681477 1119.53488494681 838.285303889873 1160.99729996923 1078.72231382345 1102.66922329682 1115.51808175582 997.795760960811 920.929504238246 1030.62491519156 980.76676072924 1029.03798562838 887.600402252556 1281.8874254167 1128.2401203474 1123.88215431762 1285.45470048885 1068.73031449409 981.30871085343 764.392538559849 949.616856258297 1127.82826681516 1195.42610814964 1212.78264546018 986.899182467278 999.603800475815 1242.93027483946 1098.88672000059 897.458873041932 1091.12813540222 1235.95741503187 1365.75959584229 1032.33579889557 1065.45861852588 1044.21609298064 894.129995809439 1105.79976843338 1169.56770272276 1106.2608463779 1110.48924487507 982.575094759246 1126.2633936778 1117.95763230558
"7" 1221.3347935174 1240.97553476097 1074.86008431481 1255.55933088261 1227.04390741905 1145.0729539239 1001.29125362798 875.951578391917 923.108218383628 1069.2883855871 1296.4795411609 1359.05664603277 1111.18403093402 998.510542287245 976.770137049506 1119.63928092743 1032.23029474644 850.18925494507 962.11377344355 1104.76363880205 1092.39653129423 1097.69173558142 1243.71136867327 1132.13611153682 1194.69330467415 859.735159990857 1059.97298557652 1112.27321598829 1106.87023340908 965.442463074351 1127.95355783847 937.681329354958 1204.18449016971 1015.72401072417 1138.19056618224 1160.77027747239 954.35884027203 954.876105612688 963.34559998194 1035.62873914512 992.994701968291 1146.01301195403 1182.0111396874 1432.66428232861 1042.68246009804 1234.64473386094 870.833921374251 1100.13086294445 993.533693743781 994.661934129024
"8" 976.981241598291 992.383140414843 1200.33397423138 1094.58684231965 1132.27152863451 1082.08077660107 1130.1884795049 1082.72079832094 1066.73502703124 1087.71461245903 1120.50777282416 1055.23001819038 1042.18260844076 1199.9525437084 1152.48039446569 1203.9984304659 1191.12584859233 1128.20240371593 1035.13908701951 1187.93874681067 1238.51438601951 967.721172550399 1002.24066844168 1123.67268835515 1076.6455778839 1149.90141290753 1154.66585074089 1064.2166937527 975.878018206009 984.405728521294 1204.47271023701 1046.78956611953 1126.37225515033 1320.78744500899 1373.78944068463 1287.24526946592 1268.865982862 1006.42317472268 1443.77886123758 1104.78381491804 1164.45995844857 1043.90560009991 1113.13956405054 1080.53871412448 1224.97635046428 1021.38108054809 946.645588951796 1341.24462799489 1230.88040991219 1172.58084632363
"9" 1215.86358078036 1517.65479731964 1207.92721966864 1188.04674041887 1142.80544702951 1056.79689896226 1340.83059786699 1150.99978109109 871.192163070843 1202.43934998582 1354.69723306812 837.012462495112 1169.30955485701 1175.26259037847 1141.99839155616 1007.72515782694 1160.58827330265 979.22033577241 1168.43390804161 1043.31247708675 1115.1844386785 933.962492893829 965.26138905137 1011.90911860459 1256.03795695199 869.038906406364 968.958169546838 1202.72214714755 1462.03096671564 1058.37894963739 1130.35416918544 1096.7439293312 741.222020383889 1050.82208496178 1175.48883010323 984.559798639944 1039.68646818551 1044.0947301455 963.37806651685 1076.40911703384 1064.62637581331 877.481705931587 1108.45530382119 980.993058556259 1152.23031842906 1135.91066510212 997.175815650363 1175.09656469696 962.931766062992 1266.09425704654
"10" 1200.63947298007 977.117226612626 1056.59651984486 971.361247861324 1072.3402521384 1355.9074885522 1192.98633481412 1151.42932519517 1138.93237971347 1057.36481539482 989.5948887021 1149.74080338905 1056.23952876746 1194.25345774659 953.953430477261 1197.08920997393 1091.49236229796 1284.83082185777 1056.23835429371 1217.5957981997 1147.55967136527 918.531694204482 1153.77867292893 1039.72274035967 1145.01834938341 991.561566584389 955.15022253986 1108.53168695183 1298.81123688286 1067.98511165675 1188.22905839071 1104.0722331921 934.091251433949 1426.24770638966 958.304573682804 1122.84798517163 1291.00191152269 1064.9737446911 1054.34463306397 1168.83838604281 1276.2843283646 823.664865575906 1153.77610728659 1208.84030135019 1015.91629815286 1351.4345105507 1117.68532777217 1161.87742368252 1391.70599665887 1213.85711129458
