Date	Year	Month	Day	INFLOW
7/18/1949	1949	7	18	26
7/19/1949	1949	7	19	24
7/20/1949	1949	7	20	23
7/21/1949	1949	7	21	59
7/22/1949	1949	7	22	34
7/23/1949	1949	7	23	23
7/24/1949	1949	7	24	18
7/25/1949	1949	7	25	16
7/26/1949	1949	7	26	17
7/27/1949	1949	7	27	17
7/28/1949	1949	7	28	14
7/29/1949	1949	7	29	21
7/30/1949	1949	7	30	20
7/31/1949	1949	7	31	18
8/1/1949	1949	8	1	23
8/2/1949	1949	8	2	16
8/3/1949	1949	8	3	13
8/4/1949	1949	8	4	13
8/5/1949	1949	8	5	13
8/6/1949	1949	8	6	14
8/7/1949	1949	8	7	12
8/8/1949	1949	8	8	10
8/9/1949	1949	8	9	9.3
8/10/1949	1949	8	10	8.3
8/11/1949	1949	8	11	8
8/12/1949	1949	8	12	8.3
8/13/1949	1949	8	13	12
8/14/1949	1949	8	14	12
8/15/1949	1949	8	15	11
8/16/1949	1949	8	16	9.7
8/17/1949	1949	8	17	8.6
8/18/1949	1949	8	18	8
8/19/1949	1949	8	19	7.7
8/20/1949	1949	8	20	7.4
8/21/1949	1949	8	21	6.8
8/22/1949	1949	8	22	6.3
8/23/1949	1949	8	23	5.4
8/24/1949	1949	8	24	5.7
8/25/1949	1949	8	25	5.2
8/26/1949	1949	8	26	4.9
8/27/1949	1949	8	27	4.4
8/28/1949	1949	8	28	4.2
8/29/1949	1949	8	29	34
8/30/1949	1949	8	30	47
8/31/1949	1949	8	31	20
9/1/1949	1949	9	1	16
9/2/1949	1949	9	2	13
9/3/1949	1949	9	3	11
9/4/1949	1949	9	4	10
9/5/1949	1949	9	5	8.6
9/6/1949	1949	9	6	8.3
9/7/1949	1949	9	7	7.4
9/8/1949	1949	9	8	8.3
9/9/1949	1949	9	9	10
9/10/1949	1949	9	10	11
9/11/1949	1949	9	11	10
9/12/1949	1949	9	12	9
9/13/1949	1949	9	13	9
9/14/1949	1949	9	14	12
9/15/1949	1949	9	15	19
9/16/1949	1949	9	16	17
9/17/1949	1949	9	17	12
9/18/1949	1949	9	18	11
9/19/1949	1949	9	19	26
9/20/1949	1949	9	20	23
9/21/1949	1949	9	21	16
9/22/1949	1949	9	22	14
9/23/1949	1949	9	23	23
9/24/1949	1949	9	24	38
9/25/1949	1949	9	25	24
9/26/1949	1949	9	26	18
