"Group.1" "x" "PRCP" "TMAX" "TMIN" "TEMP"
"1" 1949 928.684334763949 928.684334763949 16.2695524722206 3.94312429890058 10.1063383855606
"2" 1950 1146.45854077253 1146.45854077253 14.3167919571991 2.70251219942383 8.50965207831148
"3" 1951 1191.10527896996 1191.10527896996 14.8941699805985 3.20322960785467 9.04869979422659
"4" 1952 1185.63141630901 1185.63141630901 15.1783756364278 3.54289576106767 9.36063569874772
"5" 1953 1143.1322832618 1143.1322832618 16.0889860426833 3.933496478335 10.0112412605091
"6" 1954 1115.64186266094 1115.64186266094 14.9422881062967 3.2041783761538 9.07323324122523
"7" 1955 1163.41680686695 1163.41680686695 15.0210037979893 3.25900212828503 9.14000296313716
"8" 1956 1117.954472103 1117.954472103 14.1748567229114 2.7725193250632 8.4736880239873
"9" 1957 894.632197424893 894.632197424893 15.2632298430243 3.13498837086248 9.19910910694338
"10" 1958 1159.13720171674 1159.13720171674 13.4336901169969 2.30764550532071 7.8706678111588
"11" 1959 1116.35126180258 1116.35126180258 15.3035341289905 3.50057593038979 9.40205502969016
"12" 1960 1110.06994849785 1110.06994849785 14.3287451819625 2.51402951378682 8.42138734787465
"13" 1961 1033.34127038627 1033.34127038627 14.4929717678876 2.86781804926803 8.68039490857781
"14" 1962 976.242042918455 976.242042918455 14.0909031689106 1.876464930331 7.98368404962079
"15" 1963 859.09408583691 859.09408583691 14.46938072785 1.56410502675054 8.01674287730025
"16" 1964 840.024060085837 840.024060085837 15.0734654124287 2.19595249573755 8.63470895408313
"17" 1965 789.746120171674 789.746120171674 14.3405681933094 2.19217567170322 8.26637193250632
"18" 1966 912.272824034335 912.272824034335 14.4673762831442 2.24428490798989 8.35583059556705
"19" 1967 1081.07789699571 1081.07789699571 13.8674090893057 2.25325291316362 8.06033100123464
"20" 1968 1011.59539914163 1011.59539914163 14.3446132988418 2.4035598800635 8.37408658945264
"21" 1969 1070.23536480687 1070.23536480687 14.2445232523958 2.70557653007231 8.47504989123405
"22" 1970 1022.70803433476 1022.70803433476 14.2053339761303 2.79313220059968 8.49923308836498
"23" 1971 1055.76143347639 1055.76143347639 14.4343199482627 2.8760999706038 8.65520995943324
"24" 1972 1401.98887553648 1401.98887553648 13.5925298136281 2.48241399259216 8.03747190311012
"25" 1973 1228.70804291846 1228.70804291846 15.2923880298665 3.9176218707743 9.60500495032042
"26" 1974 1106.86385407725 1106.86385407725 14.4833094244224 2.71720089364454 8.60025515903345
"27" 1975 1333.02082403433 1333.02082403433 14.7359320830149 3.44734441766124 9.09163825033806
"28" 1976 1117.97259227468 1117.97259227468 14.0560682932565 1.93323285319537 7.99465057322594
"29" 1977 1292.24214592275 1292.24214592275 14.3857330824857 2.68315141395732 8.53444224822153
"30" 1978 1100.57512446352 1100.57512446352 13.6374705626433 1.82562227056264 7.73154641660298
"31" 1979 1278.97254077253 1278.97254077253 14.2150691516256 3.11043146569463 8.66275030866012
"32" 1980 891.65756223176 891.65756223176 14.2614687283203 2.30693508142748 8.28420190487389
"33" 1981 1013.56719313305 1013.56719313305 14.2578173907931 2.64295692868481 8.45038715973896
"34" 1982 1013.32289270386 1013.32289270386 14.3429582221177 2.34482241166441 8.34389031689106
"35" 1983 1335.80556223176 1335.80556223176 14.8256376976895 3.14446935151978 8.98505352460462
"36" 1984 1202.95615450644 1202.95615450644 14.5149056617085 2.98388272091246 8.74939419131048
"37" 1985 993.353579399142 993.353579399142 14.6335250514434 2.92778980539714 8.78065742842025
"38" 1986 1155.18145922747 1155.18145922747 14.5166760185784 3.0638930448586 8.7902845317185
"39" 1987 1071.42803433476 1071.42803433476 14.7794397789406 3.01267192662708 8.89605585278382
"40" 1988 963.806798283262 963.806798283262 14.616502886707 2.41757589511435 8.51703939091069
"41" 1989 1184.4061888412 1184.4061888412 13.9469201481569 2.4117032159445 8.17931168205068
"42" 1990 1279.37794849785 1279.37794849785 15.7868479040508 4.12685032629784 9.95684911517432
"43" 1991 986.242008583691 986.242008583691 15.9500918102181 3.82368934093715 9.88689057557763
"44" 1992 1073.87044635193 1073.87044635193 13.6291760362161 2.5909552824975 8.11006565935681
"45" 1993 1140.65681545064 1140.65681545064 14.3615147274972 2.62973722147099 8.4956259744841
"46" 1994 1214.92893562232 1214.92893562232 14.5141504380034 2.46211090599095 8.48813067199718
"47" 1995 980.95469527897 980.95469527897 14.7040335822212 2.88243475806926 8.79323417014522
"48" 1996 1471.73087553648 1471.73087553648 13.906869233935 2.80832067728849 8.35759495561173
"49" 1997 990.170360515021 990.170360515021 14.251230619084 2.56301355752837 8.40712208830619
"50" 1998 1118.68096995708 1118.68096995708 16.1073724263625 4.61044630489741 10.35890936563
"51" 1999 1094.87818025751 1094.87818025751 15.7514862484567 3.4697119172203 9.6105990828385
"52" 2000 1165.80325321888 1165.80325321888 14.2790939620201 2.81440225762831 8.54674810982421
"53" 2001 897.788274678112 897.788274678112 15.5090680463284 3.45543037215592 9.48224920924217
"54" 2002 1171.00321888412 1171.00321888412 15.4863794696925 3.92139989417367 9.7038896819331
"55" 2003 1384.22357081545 1384.22357081545 13.8583149861838 2.95719303897936 8.40775401258157
"56" 2004 1291.63459227468 1291.63459227468 14.31030139338 3.3479155270739 8.82910846022694
"57" 2005 1267.6236223176 1267.6236223176 14.9423916749956 3.3375581633253 9.13997491916044
"58" 2006 1314.2904806867 1314.2904806867 15.5595373508143 4.39000425657005 9.97477080369216
"59" 2007 1165.24806008584 1165.24806008584 14.9032896701746 3.27448736551238 9.0888885178435
